Variable Name,Class,Units,Description
 FreqBodyAccMag.meanFreq, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyAccJerkMag.mean, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyAccJerkMag.std, numeric,Hz,The standard deviation obtained after calculating the euclidean norm of all the signals in each of the axis (standard deviation of the 3 euclidean norms).
 FreqBodyBodyAccJerkMag.meanFreq, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyGyroMag.mean, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyGyroMag.std, numeric,Hz,The standard deviation obtained after calculating the euclidean norm of all the signals in each of the axis (standard deviation of the 3 euclidean norms).
 FreqBodyBodyGyroMag.meanFreq, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyGyroJerkMag.mean, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
 FreqBodyBodyGyroJerkMag.std, numeric,Hz,The standard deviation obtained after calculating the euclidean norm of all the signals in each of the axis (standard deviation of the 3 euclidean norms).
 FreqBodyBodyGyroJerkMag.meanFreq, numeric,Hz,The mean value obtained after calculating the euclidean norm of all the signals in each of the axis (mean of the 3 euclidean norms).
